visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,log_entropy,entropy_x_contrast,IR_range,IR_norm_range,class
8.3696,128.9746,71.4048,8.7,128.8083,0.0542,3.1081,-14.4306,32.0708,-3.0073,-2.9150743705365367,6.98140986,35.0781,-2.430813687580558,1.0
3.0,203.0,52.6992,0.0741,917.8332,0.0527,3.5812,173.0,254.0,226.7539,-2.9431398234348203,48.36980964,27.246100000000013,0.15749190751445094,0.0
54.8058,85.1183,70.0275,1.6542,5.4208,0.2143,1.7034,-104.1394,-76.3651,-91.3453,-1.5403783765026058,1.1616774399999998,14.980199999999996,-0.14384757354085004,1.0
11.0,197.0,97.0078,0.0932,955.4875,0.0233,3.9227,153.0,231.0,184.0898,-3.759301918410482,22.26285875,46.9102,0.306602614379085,0.0
3.64,42.1218,9.0406,2.2,19.7833,0.2958,1.8027,30.3397,41.3507,39.433,-1.2180717287054377,5.851900140000001,1.9177000000000035,0.0632076124681524,1.0
58.8904,85.9782,74.7462,0.7583,1.3833,0.37,1.1495,-96.4604,-70.6356,-89.012,-0.9942522733438669,0.511821,18.376400000000004,-0.19050719258887588,1.0
7.0,135.0,47.7227,0.0653,483.2458,0.0317,3.6513,184.0,246.0,223.3633,-3.451438598098902,15.318891859999999,22.63669999999999,0.12302554347826082,0.0
2.0,7.0,2.4609,0.0006,0.225,0.7596,0.4502,245.0,247.0,246.8438,-0.27496330004400615,0.17091,0.15620000000001255,0.0006375510204082145,0.0
69.2096,93.7176,79.3205,1.2292,3.2875,0.2763,1.4812,-105.7418,-68.2559,-90.1994,-1.2862680470527663,0.90833625,21.9435,-0.20751963745652147,1.0
7.5097,103.3918,32.8759,7.5875,100.9875,0.0597,2.9756,-68.6495,28.8133,-1.5838,-2.8184232585835804,6.02895375,30.397100000000002,-0.442786910319813,1.0
5.1449,54.5908,11.0301,2.9083,33.1,0.2362,2.0133,19.1819,35.0668,32.1024,-1.443076375218875,7.81822,2.9643999999999977,0.15454152091294387,1.0
3.0,17.0,4.168,0.0031,3.7417,0.5035,1.1148,240.0,250.0,247.7148,-0.6861715668235202,1.8839459499999998,2.2852000000000032,0.00952166666666668,0.0
84.9033,113.9259,98.2229,2.5125,11.4625,0.1552,2.0255,-112.9784,-87.2993,-101.3833,-1.8630406712330188,1.77898,14.084000000000003,-0.12466099714635721,1.0
7.0,95.0,17.0156,0.0228,84.4333,0.1009,2.7056,193.0,239.0,232.7109,-2.2936253516225737,8.51931997,6.289099999999991,0.032586010362694255,0.0
8.1547,88.343,48.4311,5.5583,58.275,0.0821,2.6994,-82.8076,33.5741,-23.6384,-2.4998172625237545,4.784377500000001,57.212500000000006,-0.6909088054719617,1.0
3.4251,68.7796,7.7381,1.7042,24.1208,0.5749,1.1754,17.3387,42.9966,39.9894,-0.5535591663528919,13.86704792,3.0071999999999974,0.17343860843085107,1.0
6.0,215.0,108.1289,0.0938,950.525,0.0233,3.973,152.0,236.0,179.5859,-3.759301918410482,22.1472325,56.41409999999999,0.37114539473684205,0.0
3.0,63.0,9.2891,0.0241,123.2708,0.114,2.6864,214.0,245.0,239.9141,-2.1715568305876416,14.0528712,5.085900000000009,0.023765887850467335,0.0
64.05,94.1475,79.7294,1.6792,6.5125,0.2199,1.7442,-106.2813,-85.0325,-96.4166,-1.5145823814214214,1.4320987500000002,11.384100000000004,-0.10711291638322079,1.0
1.0,15.0,3.8516,0.006,7.4417,0.3213,1.6072,240.0,250.0,248.043,-1.1353800128603244,2.39101821,1.9569999999999936,0.00815416666666664,0.0
